match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3920404,2024-01-20,22:00:00.000,Africa - African Cup of Nations,2023,Tunisia,Mali,1,1,available,unscheduled,2024-01-21T18:12:54.576432,,2,Group Stage,Stade Amadou Gon Coulibaly,Daniel Nii Ayi Laryea,Jalel Kadri,Éric Chelle,1.1.0,2,2
3920403,2024-01-20,19:00:00.000,Africa - African Cup of Nations,2023,Mauritania,Angola,2,3,available,unscheduled,2024-01-21T13:32:08.603030,,2,Group Stage,Stade de Bouaké,Mohamed Maarouf Eid Mansour,Amir Abdou,Pedro Valdemar Soares Gonçalves,1.1.0,2,2
3920402,2024-01-20,16:00:00.000,Africa - African Cup of Nations,2023,Algeria,Burkina Faso,2,2,available,unscheduled,2024-02-09T12:19:28.060842,,2,Group Stage,Stade de Bouaké,Abongile Tom,Djamel Belmadi,Hubert Velud,1.1.0,2,2
3920401,2024-01-19,22:00:00.000,Africa - African Cup of Nations,2023,Guinea,Gambia,1,0,available,unscheduled,2024-02-02T01:34:34.679143,,2,Group Stage,Stade Charles Konan Banny de Yamoussoukro,Abdel Aziz Mohamed Bouh,Kaba Diawara,Tom Saintfiet,1.1.0,2,2
3920400,2024-01-19,19:00:00.000,Africa - African Cup of Nations,2023,Senegal,Cameroon,3,1,available,unscheduled,2024-02-03T23:56:37.056600,,2,Group Stage,Stade Charles Konan Banny de Yamoussoukro,Mahmood Ali Mahmood Ismail,Aliou Cissé,Rigobert Song Bahanag,1.1.0,2,2
3920399,2024-01-19,16:00:00.000,Africa - African Cup of Nations,2023,Cape Verde Islands,Mozambique,3,0,available,unscheduled,2024-02-01T16:59:14.348005,,2,Group Stage,Stade Félix Houphouët-Boigny      ,Samir Guezzaz,Pedro Leitão Brito,Francisco Queriol Conde Júnior,1.1.0,2,2
3920398,2024-01-18,19:00:00.000,Africa - African Cup of Nations,2023,Côte d'Ivoire,Nigeria,0,1,available,unscheduled,2024-02-10T15:39:30.828369,,2,Group Stage,Stade Olympique Alassane Ouattara,Mustapha Ghorbal,Jean-Louis Gasset,José Vítor dos Santos Peseiro,1.1.0,2,2
3920397,2024-01-18,16:00:00.000,Africa - African Cup of Nations,2023,Equatorial Guinea,Guinea-Bissau,4,2,available,unscheduled,2024-02-01T16:08:33.425930,,2,Group Stage,Stade Olympique Alassane Ouattara,Samuel Uwikunda,Juan Micha Obiang Bicogo,Baciro Candé,1.1.0,2,2
3920395,2024-01-17,22:00:00.000,Africa - African Cup of Nations,2023,Congo DR,Zambia,1,1,available,unscheduled,2024-02-01T16:35:04.192788,,1,Group Stage,Stade Laurent Pokou,Bamlak Tessema Weyesa,Sébastien Desabre,Avraham Grant,1.1.0,2,2
3920394,2024-01-17,19:00:00.000,Africa - African Cup of Nations,2023,Morocco,Tanzania,3,0,available,unscheduled,2024-02-14T05:41:27.566989,,1,Group Stage,Stade Laurent Pokou,Alhadi Allaou Mahamat,Walid Regragui,Adel Amrouche,1.1.0,2,2
3920393,2024-01-16,19:00:00.000,Africa - African Cup of Nations,2023,Tunisia,Namibia,0,1,available,unscheduled,2024-02-02T01:56:49.071776,,1,Group Stage,Stade Amadou Gon Coulibaly,Abdulkadir Artan,Jalel Kadri,Collin Benjamin,1.1.0,2,2
3920392,2024-01-16,16:00:00.000,Africa - African Cup of Nations,2023,Burkina Faso,Mauritania,1,0,available,unscheduled,2024-01-30T22:40:34.851039,,1,Group Stage,Stade de Bouaké,Jalal Jayed,Hubert Velud,Amir Abdou,1.1.0,2,2
3920391,2024-01-16,22:00:00.000,Africa - African Cup of Nations,2023,Mali,South Africa,2,0,available,unscheduled,2024-02-07T09:31:02.919407,,1,Group Stage,Stade Amadou Gon Coulibaly,Mohamed Adel Hussein,Éric Chelle,Hugo Henri Broos,1.1.0,2,2
3920390,2024-01-15,22:00:00.000,Africa - African Cup of Nations,2023,Algeria,Angola,1,1,available,unscheduled,2024-02-01T22:31:43.764830,,1,Group Stage,Stade de Bouaké,Issa Sy,Djamel Belmadi,Pedro Valdemar Soares Gonçalves,1.1.0,2,2
3920389,2024-01-15,19:00:00.000,Africa - African Cup of Nations,2023,Cameroon,Guinea,1,1,available,unscheduled,2024-01-18T22:41:52.977890,,1,Group Stage,Stade Charles Konan Banny de Yamoussoukro,Ibrahim Mutaz,Rigobert Song Bahanag,Kaba Diawara,1.1.0,2,2
3920388,2024-01-15,16:00:00.000,Africa - African Cup of Nations,2023,Senegal,Gambia,3,0,available,unscheduled,2024-01-29T18:25:00.342065,,1,Group Stage,Stade Charles Konan Banny de Yamoussoukro,Redouane Jiyed,Aliou Cissé,Tom Saintfiet,1.1.0,2,2
3920384,2024-01-13,22:00:00.000,Africa - African Cup of Nations,2023,Côte d'Ivoire,Guinea-Bissau,2,0,available,unscheduled,2024-02-09T16:53:45.011531,,1,Group Stage,Stade Olympique Alassane Ouattara,Amin Mohamed Omar,Jean-Louis Gasset,Baciro Candé,1.1.0,2,2
